folder_name,label,split
v_ApplyEyeMakeup_g08_c01,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g08_c02,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g08_c03,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g08_c04,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g08_c05,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g09_c01,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g09_c02,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g09_c03,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g09_c04,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g09_c05,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g09_c06,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g09_c07,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g10_c01,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g10_c02,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g10_c03,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g10_c04,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g10_c05,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g11_c01,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g11_c02,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g11_c03,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g11_c04,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g11_c05,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g12_c01,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g12_c02,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g12_c03,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g12_c04,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g12_c05,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g12_c06,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g13_c01,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g13_c02,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g13_c03,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g13_c04,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g13_c05,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g13_c06,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g14_c01,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g14_c02,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g14_c03,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g14_c04,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g14_c05,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g15_c01,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g15_c02,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g15_c03,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g15_c04,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g15_c05,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g15_c06,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g15_c07,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g16_c01,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g16_c02,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g16_c03,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g16_c04,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g16_c05,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g17_c01,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g17_c02,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g17_c03,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g17_c04,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g17_c05,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g18_c01,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g18_c02,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g18_c03,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g18_c04,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g18_c05,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g19_c01,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g19_c02,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g19_c03,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g19_c04,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g20_c01,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g20_c02,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g20_c03,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g20_c04,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g20_c05,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g20_c06,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g21_c01,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g21_c02,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g21_c03,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g21_c04,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g21_c05,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g22_c01,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g22_c02,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g22_c03,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g22_c04,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g22_c05,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g23_c01,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g23_c02,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g23_c03,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g23_c04,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g23_c05,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g23_c06,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g24_c01,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g24_c02,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g24_c03,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g24_c04,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g24_c05,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g24_c06,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g24_c07,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g25_c01,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g25_c02,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g25_c03,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g25_c04,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g25_c05,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g25_c06,ApplyEyeMakeup,train
v_ApplyEyeMakeup_g25_c07,ApplyEyeMakeup,train
v_ApplyLipstick_g08_c01,ApplyLipstick,train
v_ApplyLipstick_g08_c02,ApplyLipstick,train
v_ApplyLipstick_g08_c03,ApplyLipstick,train
v_ApplyLipstick_g08_c04,ApplyLipstick,train
v_ApplyLipstick_g09_c01,ApplyLipstick,train
v_ApplyLipstick_g09_c02,ApplyLipstick,train
v_ApplyLipstick_g09_c03,ApplyLipstick,train
v_ApplyLipstick_g09_c04,ApplyLipstick,train
v_ApplyLipstick_g10_c01,ApplyLipstick,train
v_ApplyLipstick_g10_c02,ApplyLipstick,train
v_ApplyLipstick_g10_c03,ApplyLipstick,train
v_ApplyLipstick_g10_c04,ApplyLipstick,train
v_ApplyLipstick_g11_c01,ApplyLipstick,train
v_ApplyLipstick_g11_c02,ApplyLipstick,train
v_ApplyLipstick_g11_c03,ApplyLipstick,train
v_ApplyLipstick_g11_c04,ApplyLipstick,train
v_ApplyLipstick_g12_c01,ApplyLipstick,train
v_ApplyLipstick_g12_c02,ApplyLipstick,train
v_ApplyLipstick_g12_c03,ApplyLipstick,train
v_ApplyLipstick_g12_c04,ApplyLipstick,train
v_ApplyLipstick_g12_c05,ApplyLipstick,train
v_ApplyLipstick_g13_c01,ApplyLipstick,train
v_ApplyLipstick_g13_c02,ApplyLipstick,train
v_ApplyLipstick_g13_c03,ApplyLipstick,train
v_ApplyLipstick_g13_c04,ApplyLipstick,train
v_ApplyLipstick_g14_c01,ApplyLipstick,train
v_ApplyLipstick_g14_c02,ApplyLipstick,train
v_ApplyLipstick_g14_c03,ApplyLipstick,train
v_ApplyLipstick_g14_c04,ApplyLipstick,train
v_ApplyLipstick_g15_c01,ApplyLipstick,train
v_ApplyLipstick_g15_c02,ApplyLipstick,train
v_ApplyLipstick_g15_c03,ApplyLipstick,train
v_ApplyLipstick_g15_c04,ApplyLipstick,train
v_ApplyLipstick_g15_c05,ApplyLipstick,train
v_ApplyLipstick_g16_c01,ApplyLipstick,train
v_ApplyLipstick_g16_c02,ApplyLipstick,train
v_ApplyLipstick_g16_c03,ApplyLipstick,train
v_ApplyLipstick_g16_c04,ApplyLipstick,train
v_ApplyLipstick_g16_c05,ApplyLipstick,train
v_ApplyLipstick_g17_c01,ApplyLipstick,train
v_ApplyLipstick_g17_c02,ApplyLipstick,train
v_ApplyLipstick_g17_c03,ApplyLipstick,train
v_ApplyLipstick_g17_c04,ApplyLipstick,train
v_ApplyLipstick_g17_c05,ApplyLipstick,train
v_ApplyLipstick_g18_c01,ApplyLipstick,train
v_ApplyLipstick_g18_c02,ApplyLipstick,train
v_ApplyLipstick_g18_c03,ApplyLipstick,train
v_ApplyLipstick_g18_c04,ApplyLipstick,train
v_ApplyLipstick_g19_c01,ApplyLipstick,train
v_ApplyLipstick_g19_c02,ApplyLipstick,train
