folder_name,label,split
April_09_brush_hair_u_nm_np1_ba_goo_0,brush_hair,train
April_09_brush_hair_u_nm_np1_ba_goo_1,brush_hair,train
April_09_brush_hair_u_nm_np1_ba_goo_2,brush_hair,train
Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ba_goo_4,brush_hair,train
Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ri_med_3,brush_hair,train
Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_0,brush_hair,train
Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_1,brush_hair,train
Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_med_2,brush_hair,train
Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_ba_med_3,brush_hair,test
Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_1,brush_hair,test
Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_2,brush_hair,test
Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_med_0,brush_hair,test
Blonde_being_brushed_brush_hair_f_nm_np2_ri_med_0,brush_hair,train
Blonde_being_brushed_brush_hair_u_cm_np2_ri_med_1,brush_hair,train
Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_1,brush_hair,train
Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_2,brush_hair,train
Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_4,brush_hair,train
Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_le_goo_3,brush_hair,train
Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_ri_goo_0,brush_hair,train
Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_cm_np2_ri_goo_6,brush_hair,train
Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_nm_np2_ri_goo_5,brush_hair,train
Brushing_Hair_with_Beth_brush_hair_h_nm_np1_le_goo_0,brush_hair,train
Brushing_Hair_with_Beth_brush_hair_u_nm_np1_fr_goo_1,brush_hair,train
Brushing_Hair_with_Beth_brush_hair_u_nm_np1_fr_goo_2,brush_hair,train
Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_fr_goo_0,brush_hair,test
Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_le_goo_1,brush_hair,test
Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_le_goo_2,brush_hair,test
Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_le_goo_3,brush_hair,train
Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_0,brush_hair,train
Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_1,brush_hair,train
Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_2,brush_hair,train
Brushing_my_Long_Hair__February_2009_brush_hair_u_nm_np1_ba_goo_1,brush_hair,train
Brushing_my_Long_Hair__February_2009_brush_hair_u_nm_np1_ba_goo_2,brush_hair,train
Brushing_my_Long_Hair__February_2009_brush_hair_u_nm_np1_fr_goo_0,brush_hair,train
Brushing_my_hair_-_December_2008_brush_hair_u_cm_np1_ba_goo_1,brush_hair,train
Brushing_my_hair_-_December_2008_brush_hair_u_cm_np1_ba_goo_2,brush_hair,train
Brushing_my_hair_-_December_2008_brush_hair_u_nm_np1_ba_goo_0,brush_hair,train
Brushing_my_long_hair_brush_hair_u_nm_np1_ba_goo_2,brush_hair,test
Brushing_my_long_hair_brush_hair_u_nm_np1_fr_goo_0,brush_hair,test
Brushing_my_long_hair_brush_hair_u_nm_np1_fr_goo_1,brush_hair,test
Brushing_my_waist_lenth_hair_brush_hair_u_nm_np1_ba_goo_0,brush_hair,train
Brushing_my_waist_lenth_hair_brush_hair_u_nm_np1_ba_goo_1,brush_hair,train
Brushing_my_waist_lenth_hair_brush_hair_u_nm_np1_ba_goo_2,brush_hair,train
Chanta!____THAT_IS_long_blonde_hair!_brush_hair_u_cm_np1_fr_goo_2,brush_hair,test
Chanta!____THAT_IS_long_blonde_hair!_brush_hair_u_cm_np1_le_goo_0,brush_hair,test
Chanta!____THAT_IS_long_blonde_hair!_brush_hair_u_cm_np1_le_goo_1,brush_hair,train
Chanta!____THAT_IS_long_blonde_hair!_brush_hair_u_nm_np1_ri_goo_3,brush_hair,test
Ella_brushing_her_amazing_long_hair_brush_hair_u_cm_np1_ba_goo_0,brush_hair,test
Ella_brushing_her_amazing_long_hair_brush_hair_u_cm_np1_ba_goo_2,brush_hair,test
Ella_brushing_her_amazing_long_hair_brush_hair_u_cm_np1_ri_goo_1,brush_hair,test
Ella_brushing_her_long_blonde_hair___again_brush_hair_u_cm_np1_ba_goo_0,brush_hair,train
